"municipality","population","bosniak","croat","serb","not declared","other","no answer","total","percent_bosniaks","percent_serbs","percent_croats","percent_not_declared","percent_other","percent_no_answer","fractionalization","polarization","percent_total_population"
"Milići",11441,4199,24,7180,9,21,8,11441,0.367013372956909,0.62756752032165,0.00209771873088017,0.000786644524080063,0.00183550388952015,0.000699239576960056,0.471451314264132,0.927802350485404,0.00321818181306755
"Modriča",25720,3101,1674,20227,170,429,119,25720,0.12056765163297,0.786430793157076,0.0650855365474339,0.00660964230171073,0.0166796267496112,0.00462674961119751,0.362410617754548,0.596677936459501,0.00723465048790292
"Mostar",105797,46752,51216,4421,1312,1910,186,105797,0.441902889495921,0.0417875743168521,0.484096902558674,0.0124011077818842,0.0180534419690539,0.00175808387761468,0.568143018720898,0.928136850494745,0.0297591103292638
"Mrkonjić Grad",16671,375,159,16050,37,37,13,16671,0.0224941515206046,0.962749685081879,0.00953752024473637,0.00221942295003299,0.00221942295003299,0.000779797252714294,0.0725056329694751,0.140487881026012,0.00468930242161079
"Neum",4653,63,4543,21,7,12,7,4653,0.0135396518375242,0.00451321727917473,0.976359338061466,0.00150440575972491,0.00257898130238556,0.00150440575972491,0.0465075740601483,0.0909935334704156,0.00130881915708446
"Nevesinje",12961,533,28,12353,19,21,7,12961,0.041123370110331,0.953090039348816,0.00216032713525191,0.00146593627034951,0.00162024535143893,0.000540081783812977,0.0899185124590297,0.176973604193164,0.00364573503008203
"Novi Grad",27115,6439,181,20116,147,207,25,27115,0.237470035035958,0.741877189747372,0.00667527198967361,0.00542135349437581,0.00763415083901899,0.000921998893601328,0.393093137121722,0.740795476595996,0.00762704307851818
"Novi Travnik",23832,12067,11002,367,104,270,22,23832,0.506336018798254,0.0153994629070158,0.461648204095334,0.00436388049681101,0.0113293051359517,0.000923128566633098,0.530119379491057,0.966707644446263,0.00670358438676914
"Novo Goražde",3117,1459,2,1618,6,25,7,3117,0.468078280397818,0.519088867500802,0.000641642605068977,0.00192492781520693,0.00802053256336221,0.00224574911774142,0.51137598167253,0.984794494308244,0.000876765379890878
"Novo Sarajevo",64814,48188,4639,3402,1893,6655,37,64814,0.743481346622643,0.0524886598574382,0.0715740426451075,0.0292066528836363,0.102678433671738,0.000570864319437159,0.42796136902997,0.637799263688457,0.0182312067155109
"Odžak",18821,6220,11621,582,102,228,69,18822,0.330464350228456,0.0309212623525661,0.61741579003294,0.00541919030921262,0.0121134842205929,0.00366592285623207,0.508445387866651,0.880295406868372,0.00529434648068852
"Olovo",10175,9701,230,77,20,139,8,10175,0.953415233415233,0.00756756756756757,0.0226044226044226,0.00196560196560197,0.0136609336609337,0.000786240786240786,0.0902400618174574,0.172361484632933,0.00286207498889627
"Orašje",19861,2015,17345,157,100,218,26,19861,0.101455113035597,0.00790493932833191,0.873319571018579,0.00503499320275918,0.010976285182015,0.00130909823271739,0.226809755117943,0.42429783768358,0.00558660160731881
"Osmaci",6016,2895,9,3095,7,6,4,6016,0.481216755319149,0.514461436170213,0.00149601063829787,0.00116356382978723,0.000997340425531915,0.000664893617021277,0.50375483639373,0.994588804843436,0.00169221062734152
"Oštra Luka",2786,23,160,2580,12,8,3,2786,0.00825556353194544,0.926058865757358,0.0574300071787509,0.00430725053840632,0.00287150035893754,0.00107681263460158,0.139020659651452,0.266460173333297,0.000783660041185751
"Pale",20909,186,128,20451,55,75,14,20909,0.00889569085082979,0.978095556937204,0.0061217657468076,0.00263044621933139,0.00358697211727008,0.000669568128557081,0.0431922382303667,0.0843647556654288,0.00588138829904985
"Pale-Prača",904,859,1,33,1,10,0,904,0.950221238938053,0.0365044247787611,0.00110619469026549,0.00110619469026549,0.0110619469026549,0,0.0956222100399405,0.18541457957498,0.000254281650119138
"Pelagićevo",5220,13,1850,3330,7,12,8,5220,0.0024904214559387,0.637931034482759,0.354406130268199,0.00134099616858238,0.00229885057471264,0.00153256704980843,0.467424656126598,0.913802888268289,0.00146830775843131
"Petrovac",361,0,0,358,0,3,0,361,0,0.991689750692521,0,0,0.00831024930747922,0,0.0164823781278536,0.0329647562557072,0.000101543889040939
"Petrovo",6474,7,36,6371,23,33,4,6474,0.00108124806919988,0.984090206981773,0.00556070435588508,0.00355267222737102,0.00509731232622799,0.000617856039542787,0.0314953881732579,0.0619132108976004,0.00182103916246825
"Posušje",20477,2,20424,5,4,12,30,20477,9.76705572105289e-05,0.000244176393026322,0.997411730233921,0.000195341114421058,0.000586023343263173,0.00146505835815793,0.00516724325262485,0.0103099303794218,0.00575987317421415
"Prijedor",89397,29034,1762,55895,746,1571,389,89397,0.324775999194604,0.625244695012137,0.019709833663322,0.00834479904247346,0.0175732966430641,0.0043513764443997,0.502803753260366,0.873991266088329,0.0251460361456865
"Prnjavor",35956,2979,451,30673,239,1581,33,35956,0.0828512626543553,0.853070419401491,0.0125431082434086,0.00664701301590833,0.0439704082767827,0.000917788408054289,0.263270776332715,0.461076087801862,0.010113883862482
"Prozor-Rama",14280,3525,10702,3,7,20,23,14280,0.246848739495798,0.000210084033613445,0.749439775910364,0.000490196078431373,0.00140056022408964,0.00161064425770308,0.377400881921396,0.74650891197639,0.00401674995984656
"Ravno",3219,20,2633,558,3,0,5,3219,0.00621310966138552,0.173345759552656,0.817955886921404,0.000931966449207828,0,0.00155327741534638,0.300857530731876,0.586714062604129,0.000905456451032639
"Ribnik",6048,0,11,6018,3,14,2,6048,0,0.995039682539683,0.00181878306878307,0.000496031746031746,0.00231481481481481,0.000330687830687831,0.00988700842991508,0.0196809326886476,0.00170121174769972
"Rogatica",10723,1117,19,9527,12,43,5,10723,0.104168609530915,0.888464049239951,0.0017718921943486,0.00111908980695701,0.00401007180826261,0.00046628741956542,0.199759843932735,0.391137300392423,0.00301621917503044
"Rudo",7963,677,9,7241,6,27,3,7963,0.0850182092176315,0.909330654276027,0.00113022730126837,0.000753484867512244,0.0033906819038051,0.000376742433756122,0.165876181483528,0.326399562470474,0.00223987254413573
"Sanski Most",41475,38344,722,1837,127,375,70,41475,0.924508740204943,0.044291742013261,0.0174080771549126,0.00306208559373116,0.00904159132007233,0.00168776371308017,0.142924814435735,0.267157822911293,0.0116662958392602
"Sapna",11178,10827,3,234,10,93,11,11178,0.968599033816425,0.0209339774557166,0.000268384326355341,0.00089461442118447,0.00831991411701557,0.000984075863302916,0.0613066185364428,0.119837713828387,0.00314420385512359
"Sarajevo Centar",55181,41702,3333,2186,1617,6203,140,55181,0.75573113934144,0.0396150849024121,0.0604012250593501,0.029303564632754,0.112411880901035,0.00253710516300901,0.410151215318691,0.626000794990727,0.0155215882026816
"Sarajevo Novi Grad",118553,99773,4947,4367,2103,7174,189,118553,0.841589837456665,0.0368358455711791,0.0417281722098977,0.0177389015883191,0.0605130194933911,0.00159422368054794,0.28464938990783,0.475700216027495,0.0333471819320511
"Sarajevo Stari Grad",36976,32794,685,467,547,2434,49,36976,0.8868996105582,0.0126298139333622,0.0185255300735612,0.0147933794893985,0.0658264820424059,0.00132518390307226,0.208352647400042,0.374893304030718,0.0104007945738996
"Skender Vakuf",9793,429,31,9288,4,37,4,9793,0.0438068007760645,0.948432553865006,0.0031655263964056,0.000408455018891045,0.00377820892474216,0.000408455018891045,0.0985320258838194,0.192982734559617,0.00275462411462027
"Sokolac",12021,671,29,11250,14,38,19,12021,0.0558189834456368,0.935862241078113,0.00241244488811247,0.00116462856667499,0.00316113468097496,0.00158056734048748,0.121026439595721,0.236543006348963,0.00338132711955991
"Srbac",17587,417,131,16630,92,287,30,17587,0.0237106954000114,0.945584806959686,0.00744868368681412,0.0052311366350145,0.0163188718940126,0.00170580542446125,0.104955112739461,0.19820125404045,0.00494695949186425
"Srebrenica",13409,7248,16,6028,23,67,27,13409,0.540532478186293,0.44954881050041,0.00119322842866731,0.00171526586620926,0.00499664404504437,0.00201357297337609,0.505697120144544,0.982085166785618,0.00377175071509682
"Srebrenik",39678,35951,1968,394,184,1147,34,39678,0.906068854276929,0.00992993598467665,0.0495992741569636,0.00463733051061041,0.0289077070416856,0.000856898029134533,0.17562264504883,0.321532467644708,0.0111608266741451
"Stolac",14502,5544,8486,279,18,72,103,14502,0.382292097641705,0.0192387256930079,0.585160667494139,0.00124120810922631,0.00496483243690525,0.00710246862501724,0.510992981512962,0.931047414114034,0.00407919523233157
"Teočak",7424,7398,5,7,0,12,2,7424,0.996497844827586,0.000942887931034483,0.000673491379310345,0,0.00161637931034483,0.000269396551724138,0.00698801736911048,0.0139267617737541,0.0020882599231023
"Teslić",38536,7184,1442,29041,351,467,51,38536,0.186423084907619,0.753607016815445,0.0374195557400872,0.00910836620303093,0.0121185385094457,0.00132343782437202,0.395691101670098,0.679135744931874,0.0108395991913619
"Tešanj",43063,40461,1462,226,128,750,36,43063,0.939576898961986,0.00524812484035018,0.0339502589229733,0.00297238929010984,0.0174163434967373,0.000835984487843392,0.115702225052749,0.219160961629491,0.0121129764370359
"Tomislavgrad",31592,2467,29006,22,27,30,40,31592,0.0780893897189162,0.000696378830083565,0.918143833881995,0.000854646746011649,0.000949607495568498,0.00126614332742466,0.150910227279941,0.298517030756057,0.00888635607363254
"Travnik",53482,35648,15102,640,327,1628,137,53482,0.666542014135597,0.0119666429826858,0.282375378632063,0.00611420664896601,0.0304401480872069,0.00256160951348117,0.474872140408369,0.825808514289677,0.0150436849686634
"Trebinje",29198,995,295,27287,191,409,21,29198,0.0340776765531886,0.934550311665183,0.0101034317419001,0.00654154394136585,0.0140078087540242,0.000719227344338653,0.125112819803084,0.23448796070023,0.00821295975683473
"Trnovo-FBiH",1502,1376,4,97,3,21,1,1502,0.916111850865513,0.0645805592543276,0.00266311584553928,0.00199733688415446,0.0139813581890812,0.00066577896138482,0.156361424891091,0.298038377135873,0.000422490086812993
"Trnovo-RS",2050,837,15,1178,9,10,1,2050,0.408292682926829,0.574634146341463,0.00731707317073171,0.00439024390243902,0.0048780487804878,0.00048780487804878,0.502995835812017,0.956773065974086,0.000576634272947161
"Tuzla",110979,80774,15396,3378,2151,9143,137,110979,0.727831391524523,0.0304381910091098,0.138728948720028,0.0193820452518044,0.082384955712342,0.00123446778219303,0.442924792310033,0.673001123946561,0.0312167292572697
"Ugljevik",15710,2186,42,13412,21,36,13,15710,0.139147040101846,0.853723742838956,0.00267345639719924,0.00133672819859962,0.0022915340547422,0.000827498408656906,0.251779002050614,0.493180758982999,0.00441898752585361
"Usora",6603,374,6095,61,26,42,5,6603,0.0566409207935787,0.00923822504922005,0.923065273360594,0.00393760411933969,0.00636074511585643,0.00075723156141148,0.144600425201061,0.274877795469917,0.00185732492891225
"Vareš",8892,5447,2820,189,91,343,2,8892,0.612573099415205,0.0212550607287449,0.317139001349528,0.010233918128655,0.0385739991003149,0.000224921277552857,0.522132537012855,0.864147890093767,0.00250118631953471
"Velika Kladuša",40419,32561,636,146,598,6407,71,40419,0.805586481605186,0.00361216259679854,0.0157351740518073,0.0147950221430515,0.158514559984166,0.00175659961899107,0.325420933184503,0.591151142493635,0.0113692588674397
"Visoko",39938,36697,576,286,266,2062,51,39938,0.918849216285242,0.00716109970454204,0.014422354649707,0.00666032350142721,0.0516300265411388,0.00127697931794281,0.152745181843415,0.285375767431416,0.0112339607770555
"Vitez",25836,19513,14350,333,74,545,21,34836,0.560138936732116,0.00955907681708577,0.411930187162705,0.00212423929268573,0.0156447353312665,0.000602824664140544,0.516216882977384,0.952530709501435,0.00979884464994502
"Višegrad",10668,1043,33,9338,20,54,180,10668,0.0977690288713911,0.875328083989501,0.0030933633295838,0.00187476565429321,0.00506186726659168,0.0168728908886389,0.223918561782702,0.417864761115124,0.00300074849941479
"Vlasenica",11467,3763,31,7589,22,30,32,11467,0.328159065143455,0.661812156623354,0.00270340978459928,0.00191854887939304,0.00261620301735415,0.00279061655184442,0.454290675996485,0.881998830719305,0.00322549522335858
"Vogošća",26343,24351,321,542,212,901,16,26343,0.924382188816763,0.0205747257335915,0.0121854002960938,0.00804767870022397,0.0342026344759519,0.000607371977375394,0.143710811440664,0.265479189210366,0.00740989104987661
"Vukosavlje",4667,2180,1516,1516,32,149,14,5407,0.403181061586832,0.280377288699834,0.280377288699834,0.00591825411503606,0.0275568707231367,0.00258923617532828,0.679421072540582,0.843747904212294,0.00152090805552454
"Zavidovići",35988,32735,573,573,162,1278,26,35347,0.926104054092285,0.0162107109514244,0.0162107109514244,0.00458313293914618,0.036155826519931,0.000735564545788893,0.140476916740654,0.260706897758528,0.00994258129066502
"Zenica",110663,92988,2409,2409,1305,5545,137,104793,0.887349345853254,0.0229881766911912,0.0229881766911912,0.0124531218688271,0.0529138396648631,0.0013073392306738,0.208597562070409,0.370156258410656,0.0294767001780253
"Zvornik",58856,19855,38579,38579,81,129,106,97329,0.203998808166117,0.396377235972834,0.396377235972834,0.000832228832105539,0.00132540147335327,0.0010890895827554,0.644151024461862,0.891223624368758,0.0273771888544752
"Čajniče",4895,884,6,3972,3,25,5,4895,0.180592441266599,0.81144024514811,0.00122574055158325,0.000612870275791624,0.00510725229826353,0.00102145045965271,0.30892209327439,0.603628469048773,0.00137689012979334
"Čapljina",26157,4541,20538,714,124,222,18,26157,0.173605535803036,0.0272967083381122,0.785181786902168,0.00474060480942004,0.00848721183621975,0.000688152311044845,0.352510589517249,0.632653234814299,0.00735757203779458
"Čelinac",15548,453,49,14874,39,124,9,15548,0.0291355801389246,0.956650373038333,0.00315153074350399,0.00250836120401338,0.00797530228968356,0.000578852585541549,0.083891017196702,0.162305872746733,0.00437341935404022
"Čelić",10502,9341,843,192,36,80,10,10502,0.889449628642163,0.0182822319558179,0.0802704246810131,0.00342791849171586,0.00761759664825747,0.000952199581032184,0.202031091936638,0.375132573471498,0.00295405518755663
"Čitluk",18140,29,17900,18,21,86,86,18140,0.0015986769570011,0.000992282249173098,0.986769570011025,0.00115766262403528,0.00474090407938258,0.00474090407938258,0.0262359827824504,0.0517290821334276,0.00510251010305439
"Šamac",17273,1265,2426,13256,151,152,23,17273,0.0732356857523302,0.767440514097146,0.140450413940833,0.00874196723209633,0.00879986105482545,0.00133155792276964,0.38578964028637,0.636200330867493,0.00485863599834942
"Šekovići",6761,107,8,6618,6,14,8,6761,0.0158260612335453,0.978849282650496,0.0011832569146576,0.000887442685993196,0.00207069960065079,0.0011832569146576,0.0415957420952331,0.0820793460026562,0.00190176796068086
"Šipovo",10293,628,26,9576,24,34,5,10293,0.0610123384824638,0.930341008452346,0.00252598853589818,0.00233168172544448,0.00330321577771301,0.000485767026134266,0.130720137982943,0.255242156771131,0.00289526662021714
"Široki Brijeg",28929,6,28814,45,8,23,33,28929,0.000207404334750596,0.00155553251062947,0.996024750250614,0.000276539113000795,0.000795049949877286,0.00114072384112828,0.00793022436106772,0.01579269637528,0.00813729408882362
"Žepče",30219,11727,501,501,55,111,24,12919,0.907732796656088,0.0387800913383389,0.0387800913383389,0.00425729545630467,0.00859199628454215,0.00185772892638749,0.172917980784978,0.316048204387837,0.00363392105961189
"Živinice",57765,53089,2508,242,172,1716,38,57765,0.919051328659223,0.00418938803773912,0.0434172942092963,0.00297758158054185,0.0297065697221501,0.000657837791049944,0.152550263853845,0.284239837560941,0.0162484286716062
