"municipality","dist_hrv","dist_srb","dist_mne","dist_yug","dist_other_country","dist_internal_border"
"Trebinje",0,96.1884291901985,0,0,0,0
"Neum",0,115.421773767709,43.7441916017336,43.7441916017336,0,0.204563686083098
"Ljubinje",8.92639032545044,95.0023445317144,19.983948777857,19.9839487778572,8.92639032545044,0
"Bileća",14.9209869581118,71.0829731124346,0,0,0,14.3138922654157
"Čapljina",0,112.361569092821,51.9446536062566,51.9446536062566,0,3.11989121053369
"Stolac",4.86509088680042,88.7735172536607,24.6416417131483,24.6416417131483,4.86509088680042,0
"Čitluk",5.5812036993974,116.231086964071,62.4816568433886,62.4816568433886,5.5812036993974,9.44858226736763
"Ljubuški",0,128.516834363193,71.3825294828114,71.3825294828114,0,20.4388292789387
"Gacko",44.4748673064484,45.2547568154745,0,0,0,17.2453615128123
"Grude",0,137.172849591456,88.9953298796267,88.9953298796267,0,35.4441280536292
"Nevesinje",24.9705961067122,68.408775535044,13.7460952276488,13.7460952276488,13.7460952276488,0
"Široki Brijeg",8.96381536413674,119.005229541096,71.8301704965085,71.8301704965085,8.96381536413674,18.7073036840034
"Mostar",12.2496024647641,92.5286864456849,47.0094609749554,47.0094609749554,12.2496024647641,0
"Posušje",0,131.566112024136,99.1808774160044,99.1808774160042,0,36.9927541063754
"Čajniče",110.361626884814,0,0,0,0,4.86246757862822
"Kalinovik",51.5717207625457,46.4084999659415,14.2640321179829,14.2640321179827,14.2640321179827,0
"Foča",75.7769388906497,13.0517873310174,0,0,0,0
"Jablanica",25.3319417956366,105.68855187145,74.4482589363525,74.4482589363524,25.3319417956366,13.9077150606168
"Rudo",129.114135010524,0,9.66902923255692,0,0,12.3124281536922
"Goražde",106.693303690715,9.8499827117942,0.377649652200105,0.377649652198766,0.377649652198766,0
"Trnovo",72.9735545660637,46.6920801910042,28.5179376478762,28.517937647876,28.517937647876,0
"Prozor",26.1646404927228,116.372519600556,90.3605859885676,90.3605859885674,26.1646404927228,26.3796485537592
"Tomislavgrad",0,134.700439716881,104.265088888487,104.265088888487,0,19.9214021596825
"Konjic",44.7493675808426,69.7906090719696,39.4687067637603,39.4687067637601,39.4687067637601,0
"Hadžići",64.6145112623306,76.7872821776496,58.0152222793452,58.0152222793452,58.0152222793452,5.0003331756048
"Ilidža",81.969421068352,67.6082795219309,50.6726453057755,50.6726453057753,50.6726453057753,0
"Sarajevo Novo Sarajevo",90.9185939718103,60.4068723851582,44.048809330892,44.0488093308918,44.0488093308918,0
"Kreševo",61.6021934402338,90.4866376003664,75.4624366810065,75.4624366810063,61.6021934402338,18.7769723393965
"Sarajevo Stari Grad",98.7151046787356,51.4549240236687,47.0122971904285,47.0122971904284,47.0122971904284,0
"Višegrad",102.506383989577,0,17.3050554302496,0,0,15.0060494008255
"Pale",100.428046003833,32.272172065065,20.0538671415635,20.0538671415625,20.0538671415625,0
"Sarajevo Vogošća",91.7408825616456,63.8298391812008,58.3205258954239,58.3205258954237,58.3205258954237,4.03407727375236
"Rogatica",94.9913636390876,2.41984776544902,15.3710044738084,2.41984776544902,2.41984776544902,0
"Kiseljak",72.2814587788184,86.6898196201546,70.8168739479438,70.8168739479436,70.8168739479436,14.0171508187783
"Breza",93.7896398785743,69.3387220897303,70.7302526565159,69.3387220897303,69.3387220897303,13.6910068617474
"Livno",0,166.051866232384,137.243485057598,137.243485057598,0,19.0829980077144
"Gornji Vakuf",42.7432195984159,111.662088503682,96.5303805571575,96.5303805571573,42.7432195984159,22.1546954744718
"Fojnica",61.0523526795943,98.6095916165155,86.0497035089757,86.0497035089755,61.0523526795943,29.0596431347924
"Kupres",22.7783881549202,143.926898724953,120.418602681005,120.418602681005,22.7783881549202,0
"Visoko",80.7164106042104,73.824748960079,67.3728494057921,67.372849405792,67.372849405792,10.6886250857726
"Sokolac",85.6949124610119,15.5998355533037,32.5311773351287,15.5998355533037,15.5998355533037,0.452971442975501
"Ilijaš",87.926576411056,46.7493328813668,53.9223490730088,46.7493328813668,46.7493328813668,0
"Busovača",73.438128751261,92.8961639582762,95.7975821287272,92.8961639582762,73.438128751261,26.5197690711577
"Bugojno",44.1827287667677,125.575376911153,122.02394387656,122.02394387656,44.1827287667677,7.05263805798835
"Srebrenica",78.8222479984853,0,45.4372836214434,0,0,30.3358347683355
"Han Pijesak",76.0651663846019,5.53343627850065,45.4520848349218,5.53343627850065,5.53343627850065,0
"Novi Travnik",63.1474826594813,111.918659348985,108.516248286972,108.516248286972,63.1474826594813,15.3519982098752
"Vitez",72.5248161398812,101.483065996233,109.137026944843,101.483065996233,72.5248161398812,18.0129403009271
"Donji Vakuf",46.2107922191538,130.023561960953,135.304027524578,130.023561960953,46.2107922191538,0
"Bratunac",66.9986093475407,0,61.7122312277863,0,0,22.3136396855869
"Vareš",73.2410540795095,49.2861331058029,70.4286671412754,49.2861331058029,49.2861331058029,10.3208809528193
"Vlasenica",61.8402583346309,3.59053460873044,51.917085914026,3.59053460873044,3.59053460873044,0
"Bosansko Grahovo",0,194.661520700844,182.190510121757,182.190510121757,0,12.0541946790134
"Kakanj",72.8457691891865,59.8866565843964,84.15141756894,59.8866565843964,59.8866565843964,20.1511386162538
"Olovo",65.054212261194,32.2859448365393,59.9022759802811,32.2859448365392,32.2859448365392,0
"Glamoč",12.8458239251246,164.783071437611,148.15076777427,148.150767774269,12.8458239251246,0
"Kladanj",57.2869520682386,24.1102728442288,70.3913495631194,24.1102728442287,24.1102728442287,0
"Šipovo",36.8754328478688,147.368650522223,147.216923828273,147.216923828273,36.8754328478688,0.0787665579337847
"Travnik",68.4329536436013,102.92406829184,119.869158442375,102.92406829184,68.4329536436013,0
"Zenica",73.8755673580021,82.7437325589725,99.3696428075682,82.7437325589725,73.8755673580021,2.78569277041679
"Šekovići",52.4767991710442,6.65773906243044,73.9691953117172,6.65773906243054,6.65773906243054,0
"Jajce",57.564300873638,133.90276158664,145.539494159701,133.90276158664,57.564300873638,0
"Banovići",50.4139760769212,41.2948617300077,89.5244225989171,41.2948617300077,41.2948617300077,12.102796968495
"Žepče",66.2866202500579,79.6213827702462,112.722639557362,79.6213827702462,66.2866202500579,0
"Živinice",40.6043856884861,20.5556105865153,89.3181719362026,20.5556105865153,20.5556105865153,1.5871365361478
"Zavidovići",58.9414874805371,47.155985869668,93.0522926108538,47.155985869668,47.155985869668,7.99726604192458
"Kalesija",34.9129130078874,5.23270425342291,89.1209122358853,5.23270425342291,5.23270425342291,0
"Drvar",0,188.947379380102,196.355353516385,188.947379380102,0,0
"Skender Vakuf",61.3335295153581,127.818494168139,146.726747299151,127.818494168139,61.3335295153581,0
"Mrkonjić Grad",34.6657531930918,146.990216496331,168.667027641795,146.990216496331,34.6657531930918,0
"Zvornik",29.255698653921,0,78.7226734552482,0,0,0
"Lukavac",34.7708548218728,42.486690526218,106.64650160524,42.486690526218,34.7708548218728,0
"Ključ",33.223332674935,162.217611800506,187.175240179071,162.217611800506,33.223332674935,0
"Tuzla",27.4458037478199,17.9061403524382,104.757739420606,17.9061403524382,17.9061403524382,0
"Maglaj",46.6629041249914,66.3551699930843,119.348907424111,66.3551699930843,46.6629041249914,0
"Kotor Varoš",49.145475868072,112.016461464685,135.525175771732,112.016461464685,49.145475868072,0
"Tešanj",36.6527310551573,76.9341905066008,133.874761645333,76.9341905066008,36.6527310551573,0
"Bosanski Petrovac",2.94492251033371,188.179212256151,209.802832849761,188.179212256151,2.94492251033371,0
"Teslić",33.6862140323773,90.84201125669,128.862260976704,90.84201125669,33.6862140323773,0
"Ugljevik",10.402787687945,7.12006734725357,113.518570257891,7.12006734725306,7.12006734725306,0
"Lopare",8.7580615057576,13.0557543991887,110.655432898667,13.0557543991887,8.7580615057576,0
"Srebrenik",22.1008579327384,33.5889301163639,121.165312768626,33.5889301163639,22.1008579327384,0
"Čelinac",34.1218746843303,110.124512828022,164.552236397084,110.124512828022,34.1218746843303,19.3131783171693
"Gračanica",28.4495127591022,44.8725637166345,124.418037444266,44.8725637166345,28.4495127591022,0
"Sanski Most",14.3161676747165,167.124536265521,203.521129676426,167.124536265521,14.3161676747165,0
"Bijeljina",0.480586128179609,0,113.967565325879,0,0,0
"Brčko",0,2.01880620009917,131.896968879258,2.0188062000991,0,0
"Bihać",0,223.654151343579,247.391952595174,223.654151343579,0,12.0557923660654
"Gradačac",7.31354678377015,25.9318555306303,139.756326904752,25.9318555306303,7.31354678377015,0
"Banja Luka",19.8364314558824,134.734112799094,173.524688962587,134.734112799094,19.8364314558824,0.489210519000857
"Laktaši",15.8860730724989,117.404543008559,182.945894254121,117.404543008559,15.8860730724989,33.3616199359498
"Doboj",9.85160030893012,58.238237186317,139.726875786283,58.238237186317,9.85160030893012,0
"Prnjavor",4.88423907916392,94.4025703166196,163.306570659315,94.4025703166196,4.88423907916392,14.8695789346373
"Modriča",5.71248086016492,42.175386727987,154.514803910782,42.175386727987,5.71248086016492,0
"Derventa",0,69.1052830042277,159.272075382624,69.1052830042277,0,7.24967156706507
"Prijedor",13.2048133449397,155.184161882676,211.882515471289,155.184161882676,13.2048133449397,1.59399464580788
"Cazin",0.549014526735777,229.819023433374,275.853401495909,229.819023433374,0.549014526735777,9.82906983320066
"Orašje",0,15.6665195478124,153.075531897981,15.6665195478124,0,0
"Bosanski Šamac",0,28.3925912505513,155.340100821355,28.3925912505513,0,0
"Bosanska Krupa",0,205.780654658643,249.009920869855,205.780654658643,0,0
"Srbac",0,94.6050401777627,187.939143109488,94.6050401777627,0,29.9134819687162
"Odžak",0,45.971606329512,166.382259858979,45.971606329512,0,0
"Bosanski Brod",0,60.458367806546,172.923988007989,60.458367806546,0,0
"Velika Kladuša",0,221.589485713694,284.032242270425,221.589485713694,0,14.1445258474751
"Bosanska Gradiška",0,121.055631772094,202.928202353462,121.055631772095,0,26.595663757215
"Bosanski Novi",0,180.556751965929,247.184597344818,180.556751965929,0,0
"Bosanska Dubica",0,150.661110563847,232.085636496837,150.661110563847,0,23.398376354081
"Sarajevo Centar",97.8152166537519,62.0952193396157,53.945007466199,53.9450074661988,53.9450074661988,0
"Sarajevo Novi Grad",88.5529891941859,70.2202753925215,56.6307323557078,56.6307323557076,56.6307323557076,0
