"municipality","canton","entity","voters","KZCiD","HDZ","SDP","ZL.97","ZAVICAJ","DNZ","SDA","Independent.Candidates","SDC.Cazin","BOSS","HSS","BPS","SZS","HSP","HNZ","HKDP","ZAD","NS","SDS","SRS","SPRS","SSS","DSZBLiK","DS","SPO","NRS.Z","SDR","NDP","SOS","SPAS","SSKiP","SNS","SD","DPSRS","NRS","ZAB","SSJ","SPD","StrZA","SRS*","SOF","UL","OS","DPS"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Banja Luka","Republika Srpska West","Republika Srpska",116139,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,4,12,0,0,0,0,0,0,0,0,5,12,0,0,8,0,8,1,0,3,0,0,0,0,0
"Banovići","Tuzla-Podrinje","Federation",12968,13,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berkovići","Republika Srpska East","Republika Srpska",1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bihać","Una Sana","Federation",30310,24,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bijeljina","Republika Srpska East","Republika Srpska",71564,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bileća","Republika Srpska East","Republika Srpska",8125,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosanska Krupa","Una Sana","Federation",14960,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosanski Petrovac","Una Sana","Federation",4780,11,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosansko Grahovo","Tomislavgrad","Federation",2782,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bratunac","Republika Srpska East","Republika Srpska",21315,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breza","Zenica-Doboj","Federation",9000,22,0,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brod","Republika Srpska West","Republika Srpska",17290,5,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brčko","Republika Srpska West","Republika Srpska",36546,16,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Bugojno","Centralna Bosna","Federation",22049,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Busovača","Centralna Bosna","Federation",11215,12,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bužim","Una Sana","Federation",8331,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cazin","Una Sana","Federation",30835,22,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Derventa","Republika Srpska West","Republika Srpska",27573,6,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doboj","Republika Srpska West","Republika Srpska",57506,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Donji Vakuf","Centralna Bosna","Federation",8669,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Donji Žabar","Republika Srpska West","Republika Srpska",1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drvar","Tomislavgrad","Federation",9899,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dubica","Republika Srpska West","Republika Srpska",18157,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,15,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
"Fojnica","Centralna Bosna","Federation",8295,17,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foča","Republika Srpska East","Republika Srpska",23198,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gacko","Republika Srpska East","Republika Srpska",6716,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glamoč","Tomislavgrad","Federation",4881,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Goražde","Gorazde","Federation",13395,26,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gornji Vakuf-Uskoplje","Centralna Bosna","Federation",15006,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gradačac","Tuzla-Podrinje","Federation",21443,25,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gradiška","Republika Srpska West","Republika Srpska",36477,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,7,0,2,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
"Gračanica","Tuzla-Podrinje","Federation",24823,21,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grude","Zapadna","Federation",6063,0,26,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hadžići","Sarajevo","Federation",10095,20,0,4,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Han Pijesak","Republika Srpska East","Republika Srpska",3814,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ilidža","Sarajevo","Federation",20972,19,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ilijaš","Sarajevo","Federation",6918,17,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Istočna Ilidža","Republika Srpska East","Republika Srpska",9890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Istočni Drvar","Republika Srpska West","Republika Srpska",339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
"Istočni Mostar","Republika Srpska East","Republika Srpska",1122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Istočni Stari Grad","Republika Srpska East","Republika Srpska",1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Istočno Novo Sarajevo","Republika Srpska East","Republika Srpska",5173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jablanica","Neretva","Federation",6394,21,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jajce","Centralna Bosna","Federation",20235,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jezero","Republika Srpska West","Republika Srpska",869,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"Kakanj","Zenica-Doboj","Federation",23397,19,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kalesija","Tuzla-Podrinje","Federation",15446,24,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kalinovik","Republika Srpska East","Republika Srpska",3022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kiseljak","Centralna Bosna","Federation",12605,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kladanj","Tuzla-Podrinje","Federation",6566,14,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ključ","Una Sana","Federation",10985,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Konjic","Neretva","Federation",118871,13,5,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kotor Varoš","Republika Srpska West","Republika Srpska",17482,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kreševo","Centralna Bosna","Federation",3681,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krupa na Uni","Republika Srpska West","Republika Srpska",1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kupres-FBIH","Tomislavgrad","Federation",2449,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kupres-RS","Republika Srpska West","Republika Srpska",254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laktaši","Republika Srpska West","Republika Srpska",16804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,10,3,0,0,0,0,0,0,0,5,6,14,0,2,0,0,1,0,0,0,0,1,0,0
"Livno","Tomislavgrad","Federation",16459,7,20,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ljubinje","Republika Srpska East","Republika Srpska",2663,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ljubuški","Zapadna","Federation",10561,2,22,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lopare","Republika Srpska East","Republika Srpska",10451,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lukavac","Tuzla-Podrinje","Federation",24959,12,0,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maglaj","Zenica-Doboj","Federation",11932,27,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Modriča","Republika Srpska West","Republika Srpska",22669,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mostar","Neretva","Federation",4228,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
