"municipality","votes_cast_in_district","votes_cast_out_district","total_votes_cast","perc_cast_in","perc_cast_out"
"Banja Luka",90672,20972,111644,0.812152914621475,0.187847085378525
"Banovići",10963,460,11423,0.95973036855467,0.0402696314453296
"Berkovići",1413,45,1458,0.969135802469136,0.0308641975308642
"Bihać",25438,3686,29124,0.873437714599643,0.126562285400357
"Bijeljina",53969,14745,68714,0.785414908170096,0.214585091829904
"Bileća",7004,987,7991,0.876486046802653,0.123513953197347
"Bosanska Krupa",11982,2223,14205,0.84350580781415,0.15649419218585
"Bosanski Petrovac",1385,3153,4538,0.305200528867342,0.694799471132658
"Bosansko Grahovo",220,2279,2499,0.0880352140856343,0.911964785914366
"Bratunac",11434,9121,20555,0.556263682802238,0.443736317197762
"Breza",8060,391,8451,0.953733286001657,0.0462667139983434
"Brod",8900,7997,16897,0.526720719654377,0.473279280345623
"Brčko",22277,13651,35928,0.620045646849254,0.379954353150746
"Bugojno",13581,7783,21364,0.635695562628721,0.364304437371279
"Busovača",9544,1528,11072,0.861994219653179,0.138005780346821
"Bužim",7163,498,7661,0.934995431405822,0.0650045685941783
"Cazin",25424,3338,28762,0.883944092900355,0.116055907099645
"Derventa",16045,10626,26671,0.601589741666979,0.398410258333021
"Doboj",38477,16665,55142,0.697780276377353,0.302219723622647
"Doboj Istok",NA,NA,NA,NA,NA
"Doboj Jug",NA,NA,NA,NA,NA
"Dobretići",NA,NA,NA,NA,NA
"Domaljevac-Šamac",NA,NA,NA,NA,NA
"Donji Vakuf",6929,1229,8158,0.849350330963471,0.150649669036529
"Donji Žabar",1388,48,1436,0.966573816155989,0.0334261838440111
"Drvar",4402,5007,9409,0.467849930917207,0.532150069082793
"Dubica",14317,3433,17750,0.806591549295775,0.193408450704225
"Fojnica",6505,1587,8092,0.803880375679684,0.196119624320316
"Foča",13471,8993,22464,0.599670584045584,0.400329415954416
"Foča-Ustikolina",NA,NA,NA,NA,NA
"Gacko",5439,1047,6486,0.838575393154487,0.161424606845513
"Glamoč",1850,2665,4515,0.409745293466224,0.590254706533776
"Goražde",10792,2079,12871,0.838474089037371,0.161525910962629
"Gornji Vakuf-Uskoplje",11813,3005,14818,0.797206100688352,0.202793899311648
"Gradačac",18578,2449,21027,0.883530698625577,0.116469301374423
"Gradiška",27468,8151,35619,0.771161458772004,0.228838541227996
"Gračanica",22599,1482,24081,0.938457705244799,0.0615422947552012
"Grude",5569,385,5954,0.935337588176016,0.0646624118239839
"Hadžići",9042,701,9743,0.928050908344452,0.0719490916555476
"Han Pijesak",2600,1105,3705,0.701754385964912,0.298245614035088
"Ilidža",15921,3460,19381,0.821474640111449,0.178525359888551
"Ilijaš",5598,864,6462,0.866295264623955,0.133704735376045
"Istočna Ilidža",8909,658,9567,0.931221908644298,0.0687780913557019
"Istočni Drvar",30,268,298,0.100671140939597,0.899328859060403
"Istočni Mostar",160,913,1073,0.149114631873253,0.850885368126747
"Istočni Stari Grad",1354,82,1436,0.942896935933148,0.0571030640668524
"Istočno Novo Sarajevo",3476,1333,4809,0.722811395300478,0.277188604699522
"Jablanica",5522,571,6093,0.906285901854587,0.0937140981454128
"Jajce",8985,10852,19837,0.452941473004991,0.547058526995009
"Jezero",563,272,835,0.674251497005988,0.325748502994012
"Kakanj",19255,3423,22678,0.849060763735779,0.150939236264221
"Kalesija",12511,2415,14926,0.838201795524588,0.161798204475412
"Kalinovik",2265,704,2969,0.762883125631526,0.237116874368474
"Kiseljak",10003,3366,13369,0.748223502131797,0.251776497868203
"Kladanj",5771,556,6327,0.912122648964754,0.0878773510352458
"Ključ",6068,4672,10740,0.564990689013035,0.435009310986965
"Konjic",15125,3129,18254,0.828585515503451,0.171414484496549
"Kostajnica",NA,NA,NA,NA,NA
"Kotor Varoš",9688,7350,17038,0.56861133935908,0.43138866064092
"Kreševo",2960,628,3588,0.824972129319955,0.175027870680045
"Krupa na Uni",1231,409,1640,0.750609756097561,0.249390243902439
"Kupres-FBiH",1529,810,2339,0.653698161607525,0.346301838392475
"Kupres-RS",160,77,237,0.675105485232067,0.324894514767932
"Laktaši",2446,172,2618,0.934300993124523,0.0656990068754775
"Livno",13244,2404,15648,0.846370143149284,0.153629856850716
"Ljubinje",2446,172,2618,0.934300993124523,0.0656990068754775
"Ljubuški",8981,1301,10282,0.873468196848862,0.126531803151138
"Lopare",9432,777,10209,0.92389068468998,0.0761093153100206
"Lukavac",21550,1220,22770,0.946420729029425,0.0535792709705753
"Maglaj",9180,2458,11638,0.78879532565733,0.211204674342671
"Milići",NA,NA,NA,NA,NA
"Modriča",14629,7361,21990,0.665256934970441,0.334743065029559
"Mostar Jug",2824,1158,3982,0.709191361125063,0.290808638874937
"Mostar Jugoistok",2757,1876,4633,0.595078782646234,0.404921217353766
"Mostar Jugozapad",18657,5460,24117,0.773603682050006,0.226396317949994
"Mostar Sjever",3369,1061,4430,0.760496613995485,0.239503386004515
"Mostar Stari Grad",6351,1513,7864,0.807604272634792,0.192395727365209
"Mostar Zapad",11039,2936,13975,0.789910554561717,0.210089445438283
"Mrkonjić Grad",11568,2025,13593,0.851026263517987,0.148973736482013
"Neum",1874,141,2015,0.930024813895782,0.0699751861042184
"Nevesinje",9511,1874,11385,0.835397452788757,0.164602547211243
"Novi Grad",18227,7818,26045,0.699827222115569,0.300172777884431
"Novi Travnik",13649,1899,15548,0.877862104450733,0.122137895549267
"Novo Goražde",3360,1731,5091,0.65998821449617,0.34001178550383
"Novo Sarajevo",29042,3401,32443,0.89516999044478,0.10483000955522
"Odžak",5578,3634,9212,0.60551454624403,0.39448545375597
"Olovo",6821,591,7412,0.920264436049649,0.0797355639503508
"Orašje",8512,700,9212,0.924012158054711,0.0759878419452888
"Osmaci",1981,1645,3626,0.546332046332046,0.453667953667954
"Oštra Luka",1836,968,2804,0.654778887303852,0.345221112696148
"Pale",13543,1745,15288,0.885858189429618,0.114141810570382
"Pale-Prača",NA,NA,NA,NA,NA
"Pelagićevo",2894,1430,4324,0.669287696577243,0.330712303422757
"Petrovac",104,260,364,0.285714285714286,0.714285714285714
"Petrovo",4822,159,4981,0.968078699056414,0.0319213009435856
"Posušje",6570,470,7040,0.933238636363636,0.0667613636363636
"Prijedor",47111,27573,74684,0.630804456108403,0.369195543891597
"Prnjavor",22127,4222,26349,0.839766215036624,0.160233784963376
"Prozor-Rama",6608,3075,9683,0.682433130228235,0.317566869771765
"Ravno",NA,NA,NA,NA,NA
"Ribnik",4464,950,5414,0.824528998891762,0.175471001108238
"Rogatica",8211,6642,14853,0.552817612603514,0.447182387396486
"Rudo",4861,1372,6233,0.77988127707364,0.22011872292636
"Sanski Most",9887,10937,20824,0.474788705339992,0.525211294660008
"Sapna",NA,NA,NA,NA,NA
"Sarajevo Centar",30246,3416,33662,0.898520587012061,0.101479412987939
"Sarajevo Novi Grad",44962,3944,48906,0.919355498302867,0.0806445016971333
"Sarajevo Stari Grad",21642,1936,23578,0.917889558062601,0.0821104419373993
"Skender Vakuf",6508,636,7144,0.910974244120941,0.0890257558790594
"Sokolac",8651,2259,10910,0.792942254812099,0.207057745187901
"Srbac",10893,539,11432,0.952851644506648,0.047148355493352
"Srebrenica",8332,11228,19560,0.425971370143149,0.574028629856851
"Srebrenik",14779,1478,16257,0.909085317094175,0.0909146829058252
"Stolac",6392,4562,10954,0.583531130180756,0.416468869819244
"Teočak",NA,NA,NA,NA,NA
"Teslić",22696,6274,28970,0.783431135657577,0.216568864342423
"Tešanj",17947,2188,20135,0.891333498882543,0.108666501117457
"Tomislavgrad",9957,2043,12000,0.82975,0.17025
"Travnik",27354,5759,33113,0.826080391387069,0.173919608612931
"Trebinje",16754,3203,19957,0.839504935611565,0.160495064388435
"Trnovo-FBiH",250,863,1113,0.224618149146451,0.775381850853549
"Trnovo-RS",1935,1510,3445,0.561683599419448,0.438316400580552
"Tuzla",52889,3108,55997,0.944497026626426,0.0555029733735736
"Ugljevik",8545,1709,10254,0.833333333333333,0.166666666666667
"Usora",NA,NA,NA,NA,NA
"Vareš",6736,1671,8407,0.801237064351136,0.198762935648864
"Velika Kladuša",18143,3532,21675,0.837047289504037,0.162952710495963
"Visoko",20463,1196,21659,0.944780460778429,0.0552195392215707
"Vitez",14447,1848,16295,0.886590978827861,0.113409021172139
"Višegrad",10227,6544,16771,0.609802635501759,0.390197364498241
"Vlasenica",12692,7871,20563,0.617225113067159,0.382774886932841
"Vogošća",6745,1021,7766,0.868529487509658,0.131470512490343
"Vukosavlje",1473,1517,2990,0.492642140468227,0.507357859531773
"Zavidovići",19354,2144,21498,0.900269792538841,0.0997302074611592
"Zenica",54125,3742,57867,0.935334473879759,0.0646655261202412
"Zvornik",27280,18765,46045,0.592463894016723,0.407536105983277
"Čajniče",3705,1847,5552,0.667327089337176,0.332672910662824
"Čapljina",13615,3728,17343,0.785042956812547,0.214957043187453
"Čelinac",9228,856,10084,0.915113050376835,0.0848869496231654
"Čelić",4543,937,5480,0.829014598540146,0.170985401459854
"Čitluk",7209,505,7714,0.934534612393052,0.0654653876069484
"Šamac",10905,2717,13622,0.800543238878285,0.199456761121715
"Šekovići",4611,201,4812,0.958229426433915,0.0417705735660848
"Šipovo",6445,1642,8087,0.796958080870533,0.203041919129467
"Široki Brijeg",11043,724,11767,0.938471997960398,0.0615280020396023
"Žepče",5491,1492,6983,0.786338250035801,0.213661749964199
"Živinice",22225,1494,23719,0.93701252160715,0.0629874783928496
